Batsman,Bowler,Phase,Boundary%,Fours,Over,Runs,Sixes,Strike Rate
AD Russell,OF Smith,Middle,100.0%,,7.2,6,1,600
AD Russell,OF Smith,Middle,100.0%,,7.5,6,1,600
AD Russell,OF Smith,Middle,,,7.6,0,,0
AD Russell,OF Smith,Middle,100.0%,,8.3,6,1,600
AD Russell,OF Smith,Middle,0.0%,,8.4,1,,100
AD Russell,RD Chahar,Middle,0.0%,,8.5,1,,100
AD Russell,RD Chahar,Middle,0.0%,,9.2,1,,100
AD Russell,OF Smith,Middle,100.0%,1,9.3,4,,400
AD Russell,RD Chahar,Middle,,,9.4,0,,0
AD Russell,Arshdeep Singh,Middle,100.0%,1,9.5,4,,400
AD Russell,Arshdeep Singh,Middle,0.0%,,9.6,2,,200
AD Russell,Arshdeep Singh,Middle,,,10.2,0,,0
AD Russell,Arshdeep Singh,Middle,100.0%,,10.3,6,1,600
AD Russell,LS Livingstone,Middle,100.0%,,10.4,6,1,600
AD Russell,LS Livingstone,Middle,100.0%,,10.6,6,1,600
AD Russell,RD Chahar,Middle,,,11.1,0,,0
AD Russell,RD Chahar,Middle,0.0%,,11.2,1,,100
AD Russell,RD Chahar,Middle,0.0%,,11.3,1,,100
AD Russell,Harpreet Brar,Middle,0.0%,,11.4,1,,100
AD Russell,Harpreet Brar,Middle,,,11.5,0,,0
AD Russell,Harpreet Brar,Middle,,,11.6,0,,0
AD Russell,RD Chahar,Middle,,,12.1,0,,0
AD Russell,RD Chahar,Middle,,,12.3,0,,0
AD Russell,RD Chahar,Middle,0.0%,,12.6,1,,100
AD Russell,Harpreet Brar,Middle,,,12.7,0,,0
AD Russell,Harpreet Brar,Middle,100.0%,,13.4,6,1,600
AD Russell,Harpreet Brar,Middle,0.0%,,13.5,2,,200
AD Russell,Harpreet Brar,Middle,100.0%,,13.6,6,1,600
AD Russell,Harpreet Brar,Middle,0.0%,,13.7,1,,100
AD Russell,RD Chahar,Middle,,,14.2,0,,0
AD Russell,RD Chahar,Middle,0.0%,,14.3,2,,200
